"Split"	"Run time in minutes"	"UBCF - RMSE"	"IBCF - RMSE"	"Ratings tested"
1	18.6773333333333	0.905868654635503	0.906007360869084	300063
2	17.9871666666667	0.905521167802202	0.905646025396462	300063
3	16.8735	0.906113475156988	0.906243373629833	300063
4	17.5195	0.905835962165775	0.905996508723724	300063
5	17.2501666666666	0.905243213663328	0.905467863179725	300063
6	17.5243333333333	0.906062686852728	0.906239382537603	300063
7	20.2301666666667	0.902489823186662	0.90265546969193	300063
8	20.2421666666666	0.905486568672573	0.905669034169211	300063
9	21.3503333333333	0.907788987562018	0.907884318811162	300063
10	18.0471666666666	0.905833539073884	0.905996751857963	300063
